question,answer
Can I drop a course after registration?,Course drop requests can be made within the first two weeks of semester with HOD approval and no academic penalty.
What is the maximum number of courses I can register per semester?,Students can register a maximum of 7 courses or 24 credits per semester.
Are supplementary notes or lecture materials available online?,Yes faculty upload lecture slides and notes on the university learning management system within 3 days of the lecture.
What is the eligibility to appear for final semester exams?,Students must have 75% attendance and cleared all fee dues to appear for final semester exams.
Can I request a change of course section?,Section change requests are accepted in the first week of the semester subject to seat availability and HOD approval.
What is the maximum time to complete my degree?,Students must complete their degree within twice the normal program duration otherwise their enrollment is cancelled.
Are there any honors or distinction criteria?,Students who maintain above 8.5 CGPA throughout with no backlogs are awarded honors at graduation.
What is the format of the internal assessment test?,Internal assessment tests are 1.5 hour written exams held twice per semester covering recent syllabus portions.
What documents are required for admission to undergraduate programs?,You need class 10 and 12 mark sheets transfer certificate migration certificate passport photos caste certificate and Aadhaar card.
Is there a management quota for admission?,Yes 15% of seats are reserved under management quota and applications must be submitted directly to the admissions office.
How do I apply for admission online?,Visit the university admissions portal fill the online form upload required documents and pay the application fee of Rs 500.
What is the last date to apply for undergraduate admission?,Applications for undergraduate programs close on June 30 every year. Check the university website for exact dates.
Can I apply to multiple programs in the same application?,Yes you can list up to 3 program preferences in a single application form ranked in order of priority.
What is the eligibility for MBA admission?,Candidates must have a bachelor's degree with minimum 50% marks and a valid score in CAT MAT or CMAT.
Is there an entrance exam for engineering admission?,Admission to engineering programs is based on JEE Main scores and state-level counseling ranks.
What happens if I miss the document verification date?,If you miss the document verification date without prior notice your provisional admission may be cancelled.
Can I defer my admission to the next academic year?,Deferment is allowed only in exceptional cases with prior written approval from the registrar and forfeiture of admission fee.
Are transfer admissions accepted?,Lateral entry transfers are accepted for second-year undergraduate programs based on merit and seat availability.
What is the deadline for fee payment after admission confirmation?,You must pay the first semester fee within 7 days of receiving the admission confirmation letter to secure your seat.
What is the tuition fee for the B.Tech program?,The B.Tech program costs Rs 85000 per semester excluding hostel and other charges.
Is the application fee refundable if not selected?,No the application fee of Rs 500 is non-refundable regardless of admission outcome.
What is the fee structure for MBA?,The MBA program fee is Rs 12000 per semester which includes tuition library and lab charges.
Are there any additional fees apart from tuition?,Yes there are additional fees for exam registration student activity fund library and internet totaling approximately Rs 8000 per semester.
What payment methods are accepted for fee payment?,Fee can be paid via net banking UPI demand draft or credit/debit card through the university payment portal.
Can I pay fees in installments?,Yes fees can be paid in two installments with the first installment due at the start of the semester and the second by mid-semester.
Is there a late fee penalty?,A late fee penalty of Rs 100 per day is charged.
What is the hostel fee per semester?,Hostel fee ranges from Rs 35000 to Rs 45000 per semester depending on the room type and meal plan.
Will I get a fee receipt after payment?,Yes an automated payment receipt is generated and emailed to your registered email within 24 hours of payment.
How do I get a fee payment confirmation letter?,Log in to the student portal go to Finance section and download the official fee payment confirmation letter.
What scholarships are available for meritorious students?,The university offers merit scholarships of Rs 10000 to Rs 50000 per semester for students maintaining CGPA above 8.0.
How do I apply for the government scholarship?,Submit the scholarship form along with income certificate caste certificate and mark sheets to the scholarship section by September 30.
Is there a scholarship for students from rural areas?,Yes the Rural Talent Scholarship offers Rs 15000 per year to students from rural backgrounds with income below Rs 3 lakhs.
What is the last date to apply for scholarships?,Most scholarship applications close by October 15. Refer to the scholarship portal for program-specific deadlines.
Can I receive multiple scholarships simultaneously?,You can receive only one university scholarship at a time but university and government scholarships can be combined.
What is the income limit for need-based scholarships?,The annual family income must be below Rs 6 lakhs to qualify for need-based financial assistance.
How long does scholarship processing take?,Scholarship processing typically takes 6 to 8 weeks after submission of complete documents.
What happens if my CGPA drops below the scholarship threshold?,Your scholarship will be suspended for the next semester and reinstated if your CGPA recovers.
Is there a scholarship for sports achievers?,Yes students representing the state or national level in sports can apply for the Sports Excellence Scholarship worth Rs 20000 per year.
How do I check the status of my scholarship application?,Log in to the scholarship portal using your enrollment number and check the application status under My Applications.
What is the refund policy if I withdraw from the program?,If withdrawal is done within 15 days of admission 90% of tuition fee is refunded. No refund after 30 days.
Can I get a refund if I cancel my hostel booking?,Hostel booking cancellations made 30 days before the semester start get a 75% refund. No refund after the semester begins.
How long does a fee refund take to process?,Refunds are processed within 20 working days after approval of the refund request.
What documents are needed to request a refund?,Submit a refund request form original fee receipt admission cancellation letter and bank account details to the finance office.
Will the application fee be refunded if I withdraw?,The application fee is non-refundable but the caution deposit of Rs 5000 is refundable on program completion or withdrawal.
What is the process for exam fee refund if I cannot appear?,Submit a medical certificate or valid reason within 5 days of the exam. Refund is approved on a case-by-case basis.
Is the hostel security deposit refundable?,Yes the hostel security deposit of Rs 5000 is fully refundable after inspection of the room on the day of checkout.
Can I get a refund if I failed to get a visa and cannot join?,International students who cannot obtain a visa can get a full refund of tuition minus administrative charges of Rs 20000
Are activity fees refundable?,Activity fees are non-refundable once the semester has commenced.
Who do I contact for fee refund queries?,Contact the Finance Department at finance@university.edu or visit Room 102 in the Admin Block between 10am and 3pm.
How do I apply for a student ID card?,Fill the ID card application form available at the student services desk submit your photo and pay Rs 50. Cards are issued within 5 working days.
What should I do if I lose my ID card?,Report the loss immediately to the student services office pay a replacement fee of Rs 150 and submit a new passport photo.
Is the student ID card mandatory on campus?,Yes the student ID card must be carried at all times on campus and shown to security staff when required.
Can I use my student ID for library access?,Yes your student ID is linked to the library system and must be presented to borrow or return books.
Does the student ID card expire?,Yes the student ID is valid for one academic year and must be renewed at the start of each new academic year at no extra charge.
How do I get a provisional ID card while waiting for the original?,You can get a temporary ID from the student services office valid for 15 days while your original is being processed.
Can I update my photo on the student ID card?,Photo updates require a formal request to the student services office along with a new passport photo and ID update fee of Rs 50.
Is there a digital version of the student ID card?,Yes a digital ID card can be downloaded from the student portal and is valid for all official purposes on campus.
What details are printed on the student ID card?,The card includes your name photo enrollment number program department and validity period.
Do alumni retain their student ID card privileges?,Alumni are issued separate alumni ID cards which provide access to the library and select campus events.
How do I apply for a bonafide certificate?,Submit a request through the student portal specifying the purpose. Certificates are issued within 3 working days.
What is a bonafide certificate used for?,A bonafide certificate confirms you are an enrolled student and is used for bank accounts visa applications scholarships and more.
How do I get a medium of instruction certificate?,Apply at the student services desk with your enrollment number. The certificate is issued within 5 working days at no cost.
Can I get a transcript for foreign university applications?,Yes official transcripts sealed and stamped are issued within 7 working days. Submit the request form and Rs 300 per copy.
How many copies of transcripts can I request at once?,You can request up to 5 certified copies of transcripts in a single application.
What documents are needed to apply for a migration certificate?,Submit your original ID card TC request form and dues clearance certificate to the examination section.
How do I apply for a duplicate mark sheet?,Submit an FIR copy affidavit from notary and pay Rs 200 to the examination office. Duplicate is issued in 10 working days.
Can I request urgent processing of certificates?,Yes express processing is available for bonafide and provisional certificates at an additional fee of Rs 100 with 24-hour turnaround.
Are digital copies of certificates accepted?,Digital copies with the official university QR code signature are valid for most purposes. Physical copies can also be requested.
How do I get a course completion certificate?,Apply after completing all credits and clearing dues. The certificate is issued after the convocation or on request within 15 working days.
How do I file a complaint against a faculty member?,Submit a written complaint to the head of department. If unresolved escalate to the dean of academic affairs within 7 days.
What is the process to report ragging?,Call the anti-ragging helpline 1800-180-5522 or email antirag@university.edu. All complaints are investigated within 48 hours.
Can I submit a complaint anonymously?,Anonymous complaints about general issues can be submitted through the suggestion box or online portal but named complaints are handled more effectively.
What happens after I file a grievance?,You will receive an acknowledgement within 24 hours and a resolution within 15 working days from the grievance committee.
Is there a student ombudsperson I can approach?,Yes the university has a student ombudsperson who handles unresolved grievances. Contact at ombuds@university.edu.
Can I complain about hostel facilities?,Yes submit hostel complaints to the hostel warden or use the online complaint portal. Issues are addressed within 48 hours.
Who do I contact for sexual harassment complaints?,Contact the Internal Complaints Committee at icc@university.edu. The ICC is mandated to respond within 90 days.
What if my complaint is not resolved in time?,You can escalate unresolved complaints to the registrar or vice chancellor after the stipulated resolution period has passed.
How do I report a cyber harassment incident?,Report cyber harassment to the IT department at cybersecurity@university.edu or visit the IT help desk in Block C.
Is my complaint identity kept confidential?,Yes the university maintains strict confidentiality for all complaints and the complainant's identity is protected.
What are the library working hours?,The central library is open from 8 AM to 10 PM on weekdays and 9 AM to 6 PM on weekends.
How many books can I borrow from the library?,Undergraduate students can borrow up to 3 books and postgraduate students up to 5 books at a time.
What is the borrowing duration for library books?,Books can be borrowed for 14 days. Renewal is allowed twice online if no one else has reserved the book.
What is the fine for returning a book late?,A fine of Rs 2 per day per book is charged for late returns. Fines must be cleared before borrowing new books.
Can I access e-journals and online databases from home?,Yes use your university credentials to access JSTOR IEEE Xplore and other databases through the library portal from anywhere.
How do I reserve a book that is currently issued?,Log in to the library portal search for the book and click Reserve. You will be notified when it is available.
Does the library have a reading room?,Yes the library has a 200-seat reading room open 24 hours during exam periods. Student ID is required for entry.
Can I bring food and drinks inside the library?,No food and drinks are strictly not allowed inside the library. Sealed water bottles are the only exception.
How do I access digital newspapers in the library?,Digital newspapers and magazines are available on the library portal under the e-Resources section free of charge.
Who do I contact for library-related issues?,Contact the library help desk at library@university.edu or call extension 2045 during working hours.
What types of hostel accommodation are available?,The university offers single occupancy double occupancy and triple sharing rooms in separate hostels for boys and girls.
How do I apply for hostel accommodation?,Apply through the student portal during the admission process or before June 30 for continuing students. Allotment is on a first-come basis.
What facilities are available in the hostel?,Hostels are equipped with Wi-Fi laundry mess CCTV hot water gym and 24-hour security.
Can I change my room in the hostel?,Room change requests can be submitted to the hostel warden after the first month. Changes are granted based on availability.
What is the hostel curfew time?,All students must return to the hostel by 10 PM on weekdays and 11 PM on weekends. Prior permission is required for late entry.
Is outside food allowed in the hostel?,Outside food can be ordered to the hostel gate. No delivery persons are allowed inside the hostel premises.
What is the process for hostel checkout?,Submit a checkout request to the warden 48 hours in advance clear mess dues return room keys and get a clearance certificate.
Are guests allowed to visit in the hostel?,Guests are allowed only in the common visitor room between 10 AM and 6 PM on weekends with prior permission from the warden.
What should I do in case of a maintenance issue in my hostel room?,Report maintenance issues to the hostel warden or fill a complaint form at the hostel office. Issues are addressed within 48 hours.
Is the hostel mess vegetarian or non-vegetarian?,The university mess serves both vegetarian and non-vegetarian meals. Separate counters are available for both.
What bus routes does the university operate?,The university operates buses on 12 routes covering major residential areas in the city. Route details are on the transport portal.
How do I get a university bus pass?,Submit the bus pass application form with two photos and the semester fee at the transport office. Passes are issued within 3 days.
What is the cost of the university bus pass per semester?,Bus pass fees range from Rs 3000 to Rs 6000 per semester depending on the distance of the pickup point.
What time do university buses start running?,University buses begin service at 7:00 AM from designated stops and the last return service departs from campus at 6:30 PM.
Can I board any university bus or only my designated one?,You must board the bus assigned to your registered route. Boarding other routes is allowed only with written permission from transport office.
What do I do if my bus doesn't show up?,Call the transport helpline at extension 3010 or use the university transport app to report the absence and arrange alternate transport.
Is there a university transport app?,Yes the university transport app allows you to track buses in real time and get notifications about delays. Download from the student portal.
Can final year students use university transport?,Yes final year students can continue using university transport till their last working day by renewing their pass.
Are there any bus services on Sundays?,University bus services are not available on Sundays and public holidays unless special services are announced.
What happens if I lose my bus pass?,Report the loss to the transport office immediately. A duplicate pass can be issued after paying Rs 100 replacement fee.
What is the exam schedule for the current semester?,The exam schedule is published on the university website and student portal at least 3 weeks before exams begin.
How do I download my hall ticket for exams?,Log in to the student portal go to Examinations and download your hall ticket. It will be available 10 days before exams.
Can I write exams without a hall ticket?,No hall ticket is mandatory to enter the exam hall. Duplicate hall tickets can be obtained from the exam section.
What items am I allowed to carry into the exam hall?,You may carry your hall ticket ID card pens pencils geometry box and a water bottle. No electronic devices are allowed.
What happens if I am caught cheating in an exam?,Use of unfair means leads to cancellation of that exam and may result in suspension or expulsion depending on severity.
Can I request a re-exam if I miss an exam due to illness?,Submit a medical certificate within 3 days of the missed exam. Re-exam approval is subject to committee review.
What is the duration of end semester exams?,End semester exams are typically 3 hours long for theory papers and 2 hours for practical exams.
How are practical exams conducted?,Practical exams are conducted in the respective labs with internal and external examiners evaluating your performance and record.
Is there a seating arrangement for exams?,Yes seating is assigned randomly and published on the notice board outside the exam hall 30 minutes before the exam.
Can I use a calculator in exams?,Use of calculators is allowed only in specific subjects as mentioned in the exam instructions. Otherwise no calculator is permitted.
What are the semester start and end dates?,The odd semester typically starts in July and ends in November. The even semester starts in January and ends in May.
When is the academic calendar published?,The academic calendar for the upcoming year is published on the university website by the last week of April.
How many working days are there per semester?,Each semester has approximately 90 working days including labs and tutorials as per UGC guidelines.
What is the date of the mid-semester break?,The mid-semester break is usually a week-long falling in the 8th or 9th week of the semester as per the academic calendar.
When does the registration for next semester courses open?,Course registration for the next semester opens 4 weeks before the current semester ends.
Are there any study holidays before exams?,Study holidays of 3 to 5 days are given before the start of end-semester exams to allow revision time.
When is the university foundation day holiday?,Foundation day is celebrated on March 15 and is a university holiday with cultural events organized for all students.
How many weeks before exams is the timetable published?,The exam timetable is published at least 21 days before the first exam date on the university website.
What is the schedule for supplementary exams?,Supplementary exams are typically held 4 to 6 weeks after the main exam results are declared.
When does convocation take place?,Convocation is held annually in February for all students who completed their programs in the preceding academic year.
Which holidays are observed by the university?,The university observes all national holidays state public holidays and a few university-specific holidays totaling about 30 days annually.
Is there a holiday on the day of local body elections?,Yes the university declares a holiday on election days within the city as per the Election Commission directive.
Do we get holidays during the Diwali and Eid festivals?,Yes major festivals like Diwali Eid Christmas and Pongal are included in the holiday list. Exact dates are in the academic calendar.
Can the university cancel a declared holiday?,In rare circumstances declared holidays may be rescheduled if there is a national emergency or academic urgency with prior notice.
Are compensatory holidays given for classes held on public holidays?,Yes if classes are conducted on a public holiday a compensatory holiday is given within the same month.
What is the placement cell and what does it do?,The placement cell coordinates campus recruitment activities connects students with companies and provides career counseling and interview preparation.
When does the placement season begin?,Campus placement season starts in August for final year students with pre-placement talks and aptitude test drives.
What is the average placement rate of the university?,The university has consistently achieved a placement rate of over 85% for eligible final year students in the past 3 years.
What is the highest package offered during campus placements?,The highest package offered in the most recent placement season was Rs 24 LPA from a multinational technology company.
How do I register for campus placements?,Final year students must register through the placement portal by submitting their updated resume and CGPA certificate before the deadline.
Is there a minimum CGPA requirement to sit for placement drives?,Most companies require a minimum CGPA of 6.0 and no active backlogs to participate in campus recruitment.
Can I participate in multiple company drives?,Yes you can appear in multiple drives but once you receive and accept an offer you are typically not allowed to sit in further drives.
What types of companies visit for campus recruitment?,The placement cell hosts IT companies manufacturing firms banks consulting firms and startups for recruitment.
What is the procedure if a company shortlists me?,The placement cell will notify you via email with details about the next round. You must confirm participation within 24 hours.
How do I submit my resume to the placement cell?,Upload your resume in PDF format to the placement portal under the My Profile section and ensure all details are up to date.
How do I apply for an internship through the university?,Register on the internship portal fill the application form choose preferred sector and submit. The placement cell will match you with available opportunities.
Is it mandatory to do an internship?,Internships are mandatory for final year B.Tech and MBA students as part of the curriculum and carry academic credits.
How long is the mandatory internship period?,The mandatory internship is typically 8 weeks for B.Tech students and 10 weeks for MBA students during summer vacation.
Can I find my own internship outside the placement portal?,Yes self-sourced internships are allowed subject to approval from the HOD and the placement cell. Submit the offer letter for verification.
Is the internship stipend compulsory?,The university recommends companies provide a minimum stipend of Rs 8000 per month but it is not mandatory for all internships.
How do I get an internship completion certificate?,Submit the employer's completion certificate and your internship report to the placement cell. An acknowledgment letter is issued.
Can I convert an internship into a full-time job offer?,Yes Pre-Placement Offers from internship employers are recognized and facilitate direct job placement for eligible students.
What sectors are available for MBA internships?,MBA internships span finance marketing operations HR IT and consulting. The placement cell ties up with firms in all these sectors.
Are international internships available?,The university has MoUs with select international firms. Top students may be nominated for international internship programs.
Is there an orientation for internship preparation?,Yes the placement cell conducts a 2-day internship orientation covering resume writing communication skills and professional etiquette.
What companies have visited the campus for placement in the past year?,Companies like TCS Infosys Wipro HCL Cognizant Deloitte Amazon and HDFC Bank visited campus in the last placement season.
How many companies participate in campus recruitment each year?,On average 120 to 150 companies participate in campus recruitment across all departments each academic year.
Does the university have tie-ups with any specific companies?,Yes the university has MoUs with over 40 companies for internships research collaborations and preferential recruitment.
Can alumni companies participate in campus recruitment?,Yes alumni are encouraged to refer their companies to the placement cell for campus recruitment drives.
Are startups also invited for campus recruitment?,Yes the placement cell actively invites funded startups and encourages students to consider startup opportunities alongside established companies.
What training does the university provide for placement preparation?,The training and placement cell offers aptitude training technical mock tests group discussions mock interviews and soft skills workshops.
Is placement training mandatory for final year students?,Attendance in placement training sessions is strongly recommended. Students with less than 60% training attendance may be deprioritized in placements.
What topics are covered in aptitude training?,Aptitude training covers quantitative aptitude logical reasoning verbal ability data interpretation and coding challenges.
Are there any online courses provided by the university for skill development?,Yes the university provides free access to platforms like Coursera and NPTEL through institutional subscriptions for enrolled students.
How do I prepare for a group discussion round?,The placement cell organizes weekly GD practice sessions. Join through the placement portal to sign up for the next slot.
Who conducts the technical training for engineering students?,Technical training is conducted by a combination of internal faculty industry experts and third-party training partners.
Is there a mock interview facility available?,Yes mock interviews are scheduled every Friday at the placement cell. Register 3 days in advance to secure a slot.
Can I get individual career counseling from the placement cell?,Yes one-on-one career counseling sessions are available with the career advisor. Book an appointment through the placement portal.
Are there any certification courses offered by the university?,Yes the university offers short-term certification courses in data analytics cloud computing digital marketing and project management.
How do I get access to LinkedIn Premium through the university?,Final year students can apply for complimentary LinkedIn Premium access through the placement portal under Career Tools.
What is the university's code of conduct for students?,Students are expected to respect peers faculty and staff follow academic integrity guidelines and maintain decorum in all university premises.
What are the consequences of violating the code of conduct?,Violations may result in warnings suspension fine community service or expulsion depending on the nature and severity of the act.
Is smoking or alcohol allowed on campus?,Smoking and consumption of alcohol are strictly prohibited anywhere on university premises and will lead to disciplinary action.
What is the policy on using mobile phones in class?,Mobile phones must be on silent mode during class time. Use of phones during lectures is prohibited unless permitted by faculty.
Can students hold protests or demonstrations on campus?,Students may organize peaceful demonstrations only with prior permission from the student affairs office at least 48 hours in advance.
What is the anti-ragging policy?,Ragging in any form is a criminal offense under UGC regulations. Perpetrators face suspension police complaint and possible expulsion.
Are students allowed to invite outsiders to the campus?,Outsiders may visit campus only with a formal invitation from a registered student or faculty and must register at the security gate.
What happens if a student is found with drugs?,Possession or consumption of drugs on campus is treated as a zero-tolerance offence and results in immediate expulsion and police complaint.
Is the dress code mandatory on campus?,Yes students are expected to dress in modest formal or semi-formal attire. Specific departments may have lab dress codes.
Can student organizations operate on campus?,Yes registered student clubs and organizations can operate with faculty advisor approval. New clubs must submit a proposal to the student affairs office.
How do I apply for medical leave?,Submit the medical leave application along with a doctor's certificate to the class advisor or HOD within 3 days of resuming class.
How many days of casual leave can I take per semester?,Students are allowed up to 5 days of casual leave per semester with prior approval from the class advisor.
Can I apply for leave for personal or family reasons?,Personal leave can be granted up to 3 days per semester on valid grounds with HOD approval.
What is the process for applying for long-term leave?,For leave exceeding 5 days submit a formal application to the dean of students with supporting documents and family contact information.
Do leave days count against my attendance?,Yes all leave days including medical and casual leave are counted as absent for attendance calculation purposes.
Can I get retroactive leave approval after rejoining?,Retroactive leave approval may be granted for genuine emergencies if documents are submitted within 3 days of rejoining.
What happens if I go on leave without permission?,Unauthorized absence may result in disciplinary action and all absent days without approval are considered unmarked absences.
Is there a leave application form available online?,Yes the leave application form is available on the student portal under the Academic Forms section.
Can I apply for leave during exam preparation days?,Leave during the pre-exam study holidays is not required. However leave during regular class days before exams requires HOD approval.
Are there paid internship leaves for mandatory internships?,Students on mandatory internship are marked as on duty and their internship period does not count as absence.
What documents are required for fresh admission to the B.Sc program?,You need 10th and 12th mark sheets school transfer certificate Aadhaar card caste certificate income certificate and passport photos.
Is an interview required for postgraduate admissions?,Yes shortlisted candidates for PG programs must attend a personal interview and academic assessment before final admission.
What is the cut-off percentage for arts programs admission?,Admission to arts programs requires a minimum of 50% in Class 12 with the relevant stream. Merit list is prepared based on marks.
Are NRI admissions open?,Yes the university has a separate NRI quota. Candidates must apply through the international admissions portal with apostilled documents.
What is a merit list and when is it published?,The merit list ranks candidates based on qualifying exam marks and is published on the admissions portal within 7 days of application close.
Can I join the program mid-semester?,Mid-semester enrollment is not permitted. All new students must join at the start of the academic semester.
Is counseling available before choosing a program?,Yes the admissions office offers free pre-admission counseling sessions every Saturday from 10 AM to 1 PM.
Do I need to submit original documents at the time of admission?,Original documents must be produced for verification at the time of admission. Originals are returned after verification is done.
How many seats are reserved for differently-abled students?,3% of total seats in each program are reserved for differently-abled candidates as per government policy.
Can I change my program after admission?,Program changes within the university can be requested in the first two weeks of the semester subject to eligibility and seat availability.
What is the procedure for getting a scholarship after joining?,Submit the scholarship application form along with income proof mark sheets and caste certificate to the scholarship section within 30 days of joining.
Is the National Scholarship Portal linked with the university?,Yes the university is registered on the National Scholarship Portal and students can apply for NSP scholarships using their enrollment number.
Is there a scholarship for first-generation learners?,Yes the First Generation Learner Scholarship provides Rs 12000 per year for meritorious students from economically weaker sections.
How is scholarship amount disbursed?,Approved scholarship amounts are directly transferred to the student's registered bank account within 6 to 8 weeks of approval.
Can a student reapply for scholarship if rejected in the previous year?,Yes students can reapply every year if they meet the eligibility criteria. Each application is evaluated independently.
What is the university's top scholarship and who is eligible?,The Chancellor's Merit Award of Rs 1 lakh per year is given to the top-ranking student of each program who maintains above 9.0 CGPA.
Do sports scholarships cover hostel fees?,Sports scholarships cover tuition fee waiver only. Hostel and mess fees must be paid separately by the student.
Is there a scholarship specifically for girl students?,Yes the university offers a Women Empowerment Scholarship of Rs 10000 per year for meritorious girl students from economically weaker sections.
Are there any scholarships for students with disabilities?,Yes the university provides a full tuition fee waiver and a monthly stipend of Rs 2000 for students with more than 40% disability.
What is the process to renew a scholarship each year?,Submit renewal application with latest mark sheets attendance record and updated income certificate before the annual deadline.
What should I do if I want to report a faculty misconduct?,Submit a written complaint to the HOD. If unresolved contact the dean of academics or the internal grievance committee.
How do I appeal against an exam result?,Submit a result appeal form with payment of Rs 500 to the exam section within 15 days of result announcement. Appeals are reviewed in 30 days.
Can I dispute internal assessment marks?,Internal mark disputes must be raised with the faculty within 7 days of marks being published. HOD mediates if unresolved.
What is the policy for academic dishonesty?,Academic dishonesty including plagiarism and cheating results in zero marks for the assignment suspension or expulsion.
How is plagiarism checked in assignments?,Assignments are scanned using Turnitin software. Content similarity above 20% is flagged and may result in disciplinary action.
Can I retake an exam if I fail in a subject?,Yes students can appear in the supplementary exam held after results. A fee of Rs 300 per subject applies.
Is there a mechanism to escalate complaints to university management?,Yes unresolved complaints can be escalated to the registrar's office in writing. A response is guaranteed within 21 days.
What is the university's policy on gender harassment?,The university has a zero-tolerance policy on gender harassment enforced by the Internal Complaints Committee as per the POSH Act.
Can I raise a complaint about infrastructure issues?,Yes infrastructure complaints can be submitted through the student portal or directly to the facility management department.
What are the legal rights of students in the university?,Students have the right to fair assessment grievance redressal transparent administration and a safe learning environment as per UGC norms.
What is the procedure for lateral entry admission to second year B.Tech?,Diploma holders can apply for direct second-year admission through the LEET examination. Apply before May 31 with diploma mark sheets and character certificate.
Is there an age limit for postgraduate admissions?,There is no upper age limit for PG admissions. However candidates must satisfy the academic eligibility criteria.
Do I need a language proficiency score for admission?,Indian students do not need an English proficiency score. International students must submit IELTS 6.0 or TOEFL 80 equivalents.
Can working professionals apply to the MBA program?,Yes the university offers an Executive MBA for working professionals with a minimum of 2 years of work experience.
What is the dress code for document verification day?,Students attending document verification are expected to dress formally. ID proof must be carried along with all original documents.
How many rounds of counseling are conducted for admission?,The university conducts up to 3 rounds of counseling to fill remaining seats. Round details are published on the admissions portal.
Is there an entrance exam for BBA admission?,BBA admission is merit-based on Class 12 marks. No separate entrance exam is conducted by the university.
Can I apply for direct PhD admission after a master's degree?,Yes candidates with a master's degree and valid UGC-NET or university entrance test score can apply directly for PhD programs.
What is the ratio of university seats to management quota seats?,85% of seats are under government quota and 15% are under management quota across all programs.
Is there a provision for campus visits before admission?,Yes the university organizes Open House events every April where prospective students and parents can visit campus and interact with faculty.
What is the minimum hardware configuration required for a laptop for engineering students?,Engineering students are recommended to use a laptop with at least Intel Core i5 8GB RAM 512GB SSD and Windows 10 or above.
Are computer labs open after hours?,Computer labs in the library block are open till 9 PM on weekdays. Access requires student ID card and prior lab booking.
Is Wi-Fi available across campus?,Yes high-speed Wi-Fi is available throughout the campus including hostels classrooms and the library with up to 100 Mbps speed.
How do I get campus Wi-Fi credentials?,Wi-Fi login credentials are shared with your university email within 48 hours of enrollment. Contact IT support for issues.
Is there a campus store where I can buy stationery?,Yes the campus bookstore in Block A sells stationery textbooks university merchandise and photocopying services from 9 AM to 6 PM.
What sports facilities are available on campus?,The campus has a football ground basketball court cricket nets badminton courts swimming pool and a fully equipped gymnasium.
Can students use the gym free of charge?,Yes the gym is free for enrolled students. You must register for gym access through the sports department.
Is there a medical facility on campus?,Yes the university health center is staffed with a doctor and nurse and is open from 9 AM to 5 PM Monday to Saturday.
What should I do in case of a medical emergency on campus?,Call the campus emergency number at extension 1011 or proceed to the health center. Ambulance support is available on call.
Is there a cafeteria and what are its timings?,The campus cafeteria is open from 7:30 AM to 8:30 PM on weekdays and 8 AM to 6 PM on weekends serving meals snacks and beverages.
How are mid-semester exam marks calculated?,Mid-semester exams contribute 20 marks each. The better of the two mid-semester scores is typically taken for internal assessment.
What is the passing mark for individual subjects?,Students must score a minimum of 40% in external exams and an overall 50% including internal marks to pass a subject.
Can I carry a backlog from third semester to fifth semester?,Yes you can carry backlogs forward but you must clear all backlogs before your final semester to be eligible for graduation.
How are project submissions evaluated?,Projects are evaluated by an internal guide and external examiner. Assessment includes report quality presentation and viva-voce performance.
What is a detained student and what are the implications?,A detained student is one barred from exams due to low attendance or fee default. They must reapply for the next semester.
Can I choose my own project topic for the final year project?,Yes you can propose your own project topic which must be approved by your project guide and department review committee.
